zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,,,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation
10065,59,6396,108.4,3.7,3.5,French,11,Italian,10,American (New),5,2556196,2798095,195705,67.3,29193,388,1819,13267,3643,3292,3978,2806,9725,12296,1328,235,1838,16801,11.9,,,495,0.22,269,16423
10069,5,315,63,3.7,3.5,Cafes,2,Japanese,1,American (New),1,2644724,2028143,250323,75.2,4367,8,37,2959,528,451,242,142,1907,2068,6,12,206,3714,14.3,,,873,0.07,69,17567
10075,51,7321,143.5,3.7,3.6,Italian,11,American (New),6,Sushi Bars,5,1822330,2566607,178669,67.1,21498,200,1182,9053,2264,3817,3017,1965,6386,9930,506,203,1520,12905,11.4,,,422,0.34,150,15624
10111,3,175,58.3,3.5,3.5,Brasseries,1,Restaurants,1,French,1,?,?,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,,,?,?,?,?
10128,82,10521,128.3,3.7,3.8,Italian,11,Breakfast & Brunch,10,American (New),10,1887680,1781967,168459,67.7,51804,1213,3363,23314,7905,6875,4880,4254,17962,23495,1553,778,3915,31848,12.1,,,632,0.20,404,13890
10280,5,482,96.4,3.2,3.3,American (Traditional),2,Tex-Mex,1,Mediterranean,1,1159348,1159348,168310,78.1,6328,125,356,3164,1381,855,316,131,2619,3137,112,64,779,4445,10.7,,,"1,266",0.08,66,15690
10281,16,696,43.5,3.2,3.6,American (Traditional),3,Mexican,2,Sushi Bars,1,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,,,?,?,?,?
10282,12,1276,106.3,3.7,3.5,Breakfast & Brunch,2,Singaporean,1,Barbeque,1,2498982,2498982,333950,74.4,3834,47,92,2689,466,141,111,288,1611,1777,42,53,340,2861,7.8,,,320,0.33,36,42725
10301,51,1187,23.3,3.8,3.7,Pizza,11,Mexican,7,Italian,6,367625,326209,79845,52.7,31087,2746,3658,10342,5360,4438,2291,2252,11902,11896,5083,2734,5211,7112,11.6,,,610,0.04,1334,6878
10302,46,843,18.3,3.8,3.6,Pizza,10,Chinese,8,Sandwiches,5,307212,227564,78084,54.6,12937,938,1219,5032,2241,1773,745,989,5133,5132,2999,1655,2548,1844,12.4,,,281,0.07,707,6288
