zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations
10460,26,137,5.3,3.5,3.5,Burgers,5,Spanish,5,Fast Food,4,792713.4088,131336.8516,40470,48.7,41064,4614,4909,14836,7355,4872,2531,1947,14365,17607,7668,9768,6413,3214,9.735682819
10461,93,1917,20.6,3.7,3.6,Pizza,17,Chinese,12,Italian,12,398916.7299,240596.5215,70465,55.5,42216,2354,3075,15566,7440,5714,3647,4420,16056,15739,7668,4639,8181,8232,11.00179533
10462,109,1631,15,3.8,3.6,Pizza,22,Mexican,12,Chinese,11,393297.2581,131552.9807,58813,56.8,59226,3854,4785,24382,9959,7898,4636,3712,21815,25209,10741,8445,12080,10973,10.98829431
10465,37,762,20.6,3.7,3.9,Pizza,9,Italian,7,American (Traditional),3,416011.2746,330244.3218,83904,54.4,35884,2388,3365,11313,5963,5492,3519,3844,13039,13094,6490,2718,7012,6548,11.55555556
10466,25,126,5,4.1,4.2,Caribbean,7,Pizza,5,Chinese,3,492515.6515,195289.2608,59625,55.7,55257,4637,5765,18616,10038,8179,4896,3126,18370,24228,10887,7199,10595,8152,12.53846154
10467,32,328,10.3,3.7,3.9,Pizza,7,Chinese,6,Mexican,4,682759.7366,151766.9182,52065,54,73216,5716,7114,29513,12437,8659,5354,4423,25972,31751,14231,12218,13530,10630,11.56065574
10468,58,603,10.4,3.5,3.4,Mexican,11,Pizza,9,Restaurants,8,1021366.594,139961.1929,46206,54.7,56168,4661,6969,21516,10231,6587,3217,2987,20787,24516,11231,10601,9643,6859,11.42325581
10469,44,401,9.1,3.4,3.5,Caribbean,9,Chinese,7,Pizza,7,350723.9729,237914.8709,73377,52.3,56620,4504,5357,18016,10754,7709,5099,5181,18684,23152,9050,5401,11734,10294,11.53846154
10470,18,207,11.5,3.8,3.6,Pizza,6,Sandwiches,3,Pubs,2,375148.5848,247926.3706,72272,57.2,12604,667,1071,4824,1855,2063,967,1157,4779,5034,2651,1025,2405,2661,11.38857143
10471,32,580,18.1,3.6,3.5,Pizza,7,Delis,5,Mexican,3,466128.673,820886.7979,119726,54.2,18441,1715,1728,4933,3018,2677,1764,2606,6226,6130,1543,549,1960,6576,10.22929936
10472,44,283,6.4,3.5,3.4,Chinese,9,Mexican,7,Pizza,7,696824.9118,147408.8999,50337,52,51216,4283,5845,19701,8738,6421,3739,2489,20120,20585,9617,12522,8257,4464,11.09895833
10473,13,88,6.8,3.6,3.9,Spanish,2,American (New),2,Chinese,2,"437,338.41",229259.2176,60116,50.3,45966,4276,4734,14968,7965,6661,4530,2832,14526,19802,8834,6585,8637,5538,11.77372263
10474,13,65,5,3.2,3.2,Barbeque,2,Delis,2,Pizza,2,737192.4167,109443.0854,37063,43.8,9137,674,1182,3984,1671,791,615,220,3960,3668,1690,2554,1642,560,10.56428571
10475,37,426,11.5,2.6,2.6,Burgers,6,Chinese,6,American (Traditional),5,341491.7955,232610.7414,66637,50.5,35411,2171,2580,9253,6879,5858,4499,4171,10949,13621,5481,2912,7872,5725,10.47058824
11001,44,812,18.5,3.9,3.9,American (New),7,Pizza,7,Italian,6,458833.3761,408979.431,115923,64,21954,1472,1561,6715,4412,3947,1946,1901,7791,8844,3516,945,3935,6678,13.33333333
11004,27,575,21.3,3.5,3.1,Indian,11,Chinese,5,Pakistani,3,321223.0061,461885.6788,95480,58,11734,553,707,4010,2032,2031,1050,1351,4087,4693,1684,488,1677,4224,11.88596491
11005,1,5,5,2.4,2.5,Diners,1,n/a,n/a,n/a,n/a,412639.377,?,76045,23.3,1963,0,0,8,83,153,351,1368,128,116,20,0,27,197,13.8
11040,68,2671,39.3,3.7,3.7,Italian,15,Pizza,11,Indian,6,366728.5694,462558.1628,119396,58.9,32366,2013,2240,8205,6836,5682,3726,3664,11452,11511,3980,894,5562,10287,6
11096,11,48,4.4,3.1,3.6,Pizza,5,Sandwiches,2,Italian,2,?,?,71863,57.8,6406,756,583,2128,1159,875,530,375,2149,2596,1498,861,1239,564,12.39655172
11101,46,5482,119.2,3.8,4,American (New),9,Breakfast & Brunch,7,Bars,5,1223541.527,1099687.887,71270,58.1,19995,1090,2247,9033,3229,2251,1207,938,8351,8409,3281,2526,3155,5551,12.27
