zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation,percent_most_common,percent_with_bachelor_plus,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%),HomeSize2400-3600sqft (%),average_year_built_per_zip,average_home_size_per_zip,sale_price_vs_year_built,list_price_vs_sale_price,homesize_val_per_sqft_vs_list_price,zillow_index_vs_median_list_price,median_list_sqft_vs_median_val_sqft
10030,38,922,24.3,3.6,3.4,Cafes,5,Caribbean,4,Seafood,4,1180305,352459,60933,51.2,23660,1859,2375,9695,4057,2908,1776,990,9019,10016,4197,3490,4048,4925,11.6,623,0.04,974,5263,13%,21%,Central Harlem,Manhattan,576000,0,0.378,0.158,0,585000,465000,678,0.065,599,0.002,0.0782414307,0.1713859911,0.4605067064,0.2667660209,0,0.0111773472,0,0,0,0,0,0,0, 	1907.093889768, 0.0, 243.8264851535798, 0.7948717948717948, 0.0, 0.9846153846153847, 0.0
10031,64,2416,37.8,3.7,3.8,Mexican,8,Latin American,7,American (New),5,1781877,375385,63223,57.8,48782,3272,5725,20887,7335,5166,3892,2505,18729,20384,6696,8050,8112,10530,12.1,762,0.05,1291,5222,13%,22%,Inwood and Washington Heights,Manhattan,619500,0,0.13,0.132,644,499000,375000,2923,0.085,624,0.14,0.1477457903,0.0543183053,0.4057577404,0.3758826725,0.0119500272,0,0,0,0,0,0,0,0, 	1911.6295493960001, 0.0, 196.16771466965724, 0.751503006012024, 0.0, 1.2414829659318638, 1.0320512820512822
10032,72,2183,30.3,3.5,3.6,Latin American,13,Mexican,9,Pizza,8,2150851,283745,54620,52.5,51978,3314,6468,20414,7638,6715,4145,3284,21233,20002,6489,11376,7908,8994,12,722,0.04,1715,4567,18%,17%,Inwood and Washington Heights,Manhattan,0,0,0,0.045,0,499900,499000,2265,0.074,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.9981996399279855, 0.0, 0.0, 0.0
10033,45,2746,61,3.6,3.7,Latin American,9,Chinese,5,Spanish,5,1214812,261790,69739,56.9,48284,3032,5837,18479,7673,6549,3348,3366,19540,18998,6373,8043,7067,11218,12.3,1073,0.06,792,5659,20%,23%,Inwood and Washington Heights,Manhattan,0,0,0,0.141,0,465000,439300,3704,0.101,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.9447311827956989, 0.0, 0.0, 0.0
10034,77,3014,39.1,3.4,3.4,Latin American,14,Mexican,8,Pizza,7,747787,166167,61341,61,33777,2056,3108,13382,6515,4663,2615,1438,14286,13382,4323,6300,5268,8669,13,439,0.09,864,4714,18%,26%,Inwood and Washington Heights,Manhattan,0,0,0,0.155,0,320000,315000,2541,0.114,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.984375, 0.0, 0.0, 0.0
10035,35,1253,35.8,4,4,Pizza,5,Italian,4,Caribbean,3,824596,600359,62079,43.5,27638,1855,3277,10781,4267,3403,2138,1917,10864,10864,4530,5687,3500,4734,12.1,790,0.05,772,5132,14%,17%,East Harlem,Manhattan,0,0,0,0.164,0,600000,0,200,0.095,667,0,0.2893823734,0.3990284525,0.2095766829,0.0680083276,0.0076335878,0.0138792505,0.0124913255,0,0,0,0,0,0, 	1943.622484773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10036,127,35931,282.9,3.8,3.8,American (New),24,Italian,20,American (Traditional),16,3677536,3185004,114944,69.9,21230,325,2222,10166,3495,2865,1355,802,10823,7925,1625,717,2673,11511,11.5,167,1.69,75,9967,19%,54%,Chelsea,Manhattan,1150000,0,0.074,0.206,1540,1349900,894400,5214,0.073,1558,0.164,0.021167634,0.6722430864,0.0679412769,0.0928644589,0,0.0191191533,0.1235916695,0,0,0,0,0,0, 	1977.1013999219997, 0.0, 452.3794278003575, 0.6625675975998222, 0.0, 0.8519149566634565, 0.9884467265725289
10037,19,410,21.6,3.6,3.9,Chinese,3,Cafes,2,Restaurants,2,1249555,324741,62147,49.5,14741,1090,1513,4709,2380,2017,1568,1464,4390,6229,1363,1021,3077,3645,13.1,776,0.03,682,4761,16%,25%,Central Harlem,Manhattan,0,0,0,0.075,0,278100,425900,6335,0.071,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 1.5314635023372887, 0.0, 0.0, 0.0
10038,87,8244,94.8,3.6,3.6,Sandwiches,12,American (New),10,Italian,10,2625922,1383398,145260,60.2,18105,1070,2912,7222,2433,1705,1197,1566,6812,7460,1150,1461,1505,7244,11.3,208,0.46,191,12905,14%,40%,Lower Manhattan,Manhattan,0,0,0,0.228,1255,1100000,905000,8351,0.082,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.8227272727272728, 0.0, 0.0, 1.1388384754990926
10039,29,299,10.3,3.7,3.3,Burgers,4,Chinese,4,Delis,4,1528443,663255,53530,50.8,19853,1415,2584,7555,3557,2095,1447,1200,7242,8549,3029,2631,3689,3858,12.1,685,0.02,1927,4406,14%,19%,Central Harlem,Manhattan,0,0,0,0.045,0,387500,481500,151,0.038,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 1.2425806451612904, 0.0, 0.0, 0.0
