Zip,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%)
10303,Port Richmond,Staten Island,279600,285100,0.216,0.342,204,269000,200000,2349,0.027,202,0.07,0.0374351371,0.1745737583,0.1039659007,0.1293550778,0.0492957746,0.1275018532,0.3778724981,0.149195058,0.0093597903,0.3000748783,0.2465368776,0.2186447024
10304,Stapleton and St. George,Staten Island,385500,392800,0.313,0.355,255,360000,293000,3174,0.032,245,0.043,0.0418356704,0.123768687,0.1106733109,0.1643295863,0.1170471665,0.1768455209,0.2655000579,0.1329262565,0.0829027713,0.2312118365,0.1855331141,0.2368482856
10305,Stapleton and St. George,Staten Island,370500,377600,0.432,0.356,259,399000,354800,3240,0.029,263,0.004,0.0176494184,0.1285599679,0.0750100281,0.1409947854,0.117729643,0.2439831528,0.2760730044,0.1417577967,0.0250101256,0.2317739976,0.219218307,0.2795666262
10306,South Shore,Staten Island,397700,404400,0.388,0.423,288,419000,368800,3539,0.035,293,0.009,0.0053539934,0.0920886873,0.0173217435,0.1558327035,0.1434240363,0.3539304611,0.2320483749,0.1514957811,0.0197519816,0.2892482741,0.2236001023,0.2221298901
10307,South Shore,Staten Island,482300,489200,0.251,0.494,285,589900,450000,3574,0.029,293,0.066,0.0231822972,0.1825605901,0.1209167545,0.1322444679,0.0547945205,0.0571654373,0.4291359326,0.1078639745,0.1596705632,0.1198193411,0.1503719447,0.1790648247
10308,South Shore,Staten Island,407000,413000,0.313,0.492,287,424900,424800,3557,0.026,276,0.012,0.0071230231,0.0581914765,0.0152118798,0.0994808644,0.0930822166,0.4637208741,0.2631896656,0.1105996366,0.016353725,0.2887946699,0.2556026651,0.2316172017
10309,South Shore,Staten Island,456400,471900,0.251,0.494,246,499900,386200,3920,0.032,251,0.035,0.0126869053,0.1948346171,0.0180108745,0.0498414137,0.0471227911,0.0970774807,0.5804259175,0.0603956959,0.0963785723,0.121022793,0.1441629064,0.2954992479
10310,Port Richmond,Staten Island,390500,397400,0.176,0.383,267,379900,351500,3205,0.033,251,0.07,0.0831234257,0.0906801008,0.1344008636,0.3751349406,0.1523929471,0.0548758546,0.1093918676,0.0680100756,0.0289672544,0.2808564232,0.2759985606,0.2315581144
10312,South Shore,Staten Island,420500,425400,0.209,0.457,260,435000,407400,3613,0.031,272,0.036,0.0011258092,0.0925978047,0.0062482409,0.0400788066,0.077061638,0.39386434,0.3890233605,0.0726914414,0.0523648649,0.2217905405,0.2025900901,0.3004504505
10314,Mid-Island,Staten Island,388500,417600,0.24,0.322,259,399900,363500,3242,0.031,268,0.036,0.0046063652,0.0470268007,0.0191373534,0.0832077052,0.1206030151,0.3667504188,0.3586683417,0.1266277309,0.0123296561,0.2421804023,0.188492321,0.3030067056
10451,High Bridge and Morrisania,Bronx,-1,-1,0,0.109,0,160000,0,145,0.099,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10452,High Bridge and Morrisania,Bronx,-1,-1,0,0.138,0,145000,0,1088,0.052,112,-1,0.1024464832,0.1865443425,0.2706422018,0.3119266055,0.0290519878,-1,0.0978593272,-1,-1,-1,-1,-1
10453,Central Bronx,Bronx,-1,-1,0,0.222,0,324000,0,2156,0.059,159,-1,0.0575256107,0.0654058314,0.2876280536,0.3388494878,0.0094562648,0.0094562648,0.231678487,-1,-1,-1,-1,-1
10454,Hunts Point and Mott Haven,Bronx,-1,-1,0,0.071,0,350000,0,1308,0.029,172,-1,0.0626506024,0.2084337349,0.3771084337,0.1096385542,0.2397590361,0.09963548,0.0364520049,0.0753341434,0.4993924666,0.2709599028,-1,-1
10455,Hunts Point and Mott Haven,Bronx,-1,-1,0,0.25,0,259900,0,1536,0.028,268,-1,0.0363815143,0.1779744346,0.343166175,0.0560471976,0.3785644051,0.0367428004,0.1092353525,0.1350546177,0.0546176763,0.3247269116,0.317775571,-1
10456,High Bridge and Morrisania,Bronx,256200,285700,0.265,0.105,201,349000,0,1117,0.039,208,0.078,0.0952879581,0.1863874346,0.2293193717,0.2062827225,0.277486911,0.0464509395,0.1503131524,0.2379958246,0.0548016701,0.1649269311,0.3168058455,-1
10457,Central Bronx,Bronx,-1,-1,0,0.143,0,315000,0,1842,0.044,158,-1,0.1035834267,0.1438969765,0.3477043673,0.1746920493,0.0089585666,0.0246360582,0.1965285554,-1,-1,-1,-1,-1
10458,Bronx Park and Fordham,Bronx,-1,-1,0,0.067,0,125000,0,2418,0.07,136,-1,0.0231958763,0.0676546392,0.5019329897,0.3318298969,0.0180412371,0.0096649485,0.0476804124,-1,-1,-1,-1,-1
10459,Hunts Point and Mott Haven,Bronx,268500,308600,0.485,0.261,175,214000,0,1614,0.031,183,0.027,0.0271710176,0.1523708045,0.210442195,0.1177410762,0.4896110815,0.0465698548,0.0951427141,0.1627441162,0.1196795193,0.2573860791,0.2934401602,-1
10460,Central Bronx,Bronx,-1,-1,0,0.122,0,199000,0,2925,0.09,140,-1,0.0718954248,0.161387632,0.2624434389,0.2765208648,0.0191050779,0.0201106083,0.1885369532,0.0149100257,0.1460154242,0.0550128535,0.0899742931,0.2812339332
10461,Southeast Bronx,Bronx,-1,-1,0,0.232,251,429000,348000,3674,0.034,259,-1,0.0197165742,0.0414356131,0.089340727,0.4711953173,0.2660197166,0.0979667283,0.0143253235,0.0283788021,0.0736908122,0.1091251176,0.2284415177,0.2585449984
10462,Southeast Bronx,Bronx,106800,-1,0.716,0.236,152,140000,116700,1126,0.023,161,-0.079,-1,-1,-1,-1,-1,-1,-1,0.7317911847,0.0251953736,0.0455767427,0.036761488,0.0706470772
10463,Kingsbridge and Riverdale,Bronx,510900,559900,0.332,0.246,360,279000,320800,3347,0.188,260,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10464,Southeast Bronx,Bronx,426100,434500,0.557,0.538,313,439000,0,4007,0.023,315,-0.043,0.0628480509,0.0453460621,0.0962609387,0.4606205251,0.1599045346,0.1042163882,0.0708035004,0.1738148984,0.0443942814,0.2159518435,0.2325056433,0.2136945071
10465,Southeast Bronx,Bronx,389900,396100,0.416,0.28,257,410000,388300,3777,0.037,250,0.001,0.0901577761,0.030052592,0.3112947658,0.2668419735,0.2354119709,0.0649887303,0.0806431353,0.0570280116,0.1494787087,0.2414269564,0.2689360633,0.1997236528
10466,Northeast Bronx,Bronx,337000,337100,0.287,0.1,229,389000,417000,3216,0.031,235,0.016,0.0140021916,0.0448070133,0.0796298551,0.3904785097,0.2566662608,0.1698526726,0.0445634969,0.0213106677,0.0651638335,0.1617393447,0.2091648189,0.2618871643
