ZIP CODE,Mean income ,Percentage Employed,Total Population ,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher
11229,75036,53.3,64976,3840,5119,19954,12132,11237,5494,7200,23760,24682,11575,5820,9706,16222
11230,68061,52.1,64903,5031,6760,21971,9835,10288,5079,5939,24278,24576,10448,5960,9842,15844
11231,112649,65.9,28146,1086,1765,14569,3977,3443,1751,1555,10891,12863,2926,2112,3254,13697
11232,57937,56.2,22923,1453,2840,11237,3417,2105,1070,801,11221,8378,4026,5334,3465,3934
11233,58178,52.2,51398,4243,5177,20172,9781,5043,4543,2439,17251,22922,11313,6624,9815,7244
11234,85627,58.2,75290,5273,6715,24281,13770,12621,6662,5968,26510,30877,13708,4013,15725,17226
11235,76282,51.3,61636,2791,4303,18207,11379,10284,6405,8267,20840,23333,9154,3572,8574,18570
11236,74263,59.8,77225,6518,7649,26350,15609,11945,5375,3779,26880,34673,16090,6224,17270,14320
11237,54144,57.3,41649,3384,6078,19586,5525,3868,1964,1244,18680,16377,5914,14061,4247,4757
11238,93028,66.8,44420,1563,4513,21952,5939,5384,2786,2283,17428,20360,4323,2522,6337,20093
11239,50777,39.3,10617,633,1125,2895,1592,1082,1382,1908,1907,4787,1546,711,1984,1328
11351,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11354,67889,55,48361,2365,3144,16863,8360,7702,4762,5165,17458,18611,9778,5575,7222,10350
11355,63336,55.9,71330,3701,6370,25427,14338,9711,5926,5857,27836,28010,12934,12338,9746,14458
11356,77064,60.7,18260,1282,1499,7055,3071,2682,1329,1342,7225,7082,3765,2312,3271,3460
11357,97365,55.1,33337,1663,2185,9754,6527,5089,3776,4343,11312,12243,5070,1816,5898,8586
11358,87032,57.3,32883,1654,2492,11624,6389,5140,2964,2620,12593,13052,5210,2906,5579,9458
11359,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360,99635,53.6,17877,899,1111,4771,3152,3154,1978,2812,5914,6274,2048,509,2590,5930
11361,91829,58.9,24241,1396,1589,8316,4996,3579,2229,2136,8780,9700,3527,1575,4123,7666
11362,102857,58.2,15402,941,728,4245,3264,2644,1815,1765,5245,5636,1576,749,2227,5601
11363,137070,63.1,6025,328,463,1713,1303,1052,623,543,2376,2155,503,177,849,2539
11364,84975,57.7,28854,1344,1657,9465,5867,4968,2844,2709,10471,11486,4292,1329,5209,9470
11365,74094,54.2,33467,1904,2623,10982,6614,5088,3184,3072,11958,13349,4571,2638,6447,9028
11366,96576,55,11191,748,1113,3075,2100,2046,1151,958,4036,4298,1346,708,1613,3554
11367,75968,54.5,30346,1703,2732,11144,5012,4410,2752,2593,11433,11865,4238,1936,5118,9274
11368,58744,64.2,81574,5477,9349,38779,11880,8164,4299,3626,37777,30395,17659,22958,10969,7237
11369,67540,61.6,31857,2200,3639,12856,5257,3909,2038,1958,13440,12221,7361,5531,4896,4234
11370,74006,39,32594,3148,4308,12710,5549,3413,1542,1924,16583,9397,6106,7124,3954,4488
11371,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11372,63975,62.5,53076,2321,4570,21569,10209,7123,4133,3151,23224,20247,9202,9498,8606,11595
11373,62190,58.6,80723,4296,7666,34878,13537,9781,6517,4048,34627,31235,14718,16445,11739,15294
11374,82140,59.4,35890,1255,2009,14257,5633,6032,3427,3277,13096,14835,4296,1398,6420,13808
11375,103767,59.9,59383,2116,2900,22296,9902,9149,5698,7322,20482,23765,5863,1633,8075,25776
11377,65127,61.2,73191,3653,6620,32629,11077,9493,5292,4427,30410,29409,12474,11744,12363,16618
11378,72296,58.6,26329,1192,2041,9861,4528,4301,2168,2238,10168,10563,6162,2933,4971,4624
11379,87982,56.7,30176,1587,1927,9837,5395,4892,3155,3383,10778,11273,6090,2001,5412,6621
11385,69057,57.8,79044,5286,7886,31683,13498,10551,5628,4512,31348,32270,19472,10397,14384,11479
11411,88234,57.6,16565,1290,1393,4550,3202,2720,1893,1517,5748,6117,2723,865,3516,3368
11412,81575,59.6,29839,2279,3048,9471,6139,4042,2591,2269,10033,12667,5674,1982,7316,4680
11413,86603,60.9,31544,2131,2794,9966,6306,5078,2980,2289,10374,13770,5368,2575,7533,5874
11414,87326,54,23994,1131,1392,6946,3974,4120,3215,3216,7530,8902,4691,1937,4283,4129
11415,81325,61.7,16445,880,1350,6431,2435,2698,1532,1119,6445,6469,2001,904,3167,5492
11416,69911,56.1,19293,1763,2053,7499,3325,2421,1314,918,7125,8173,4319,2794,3403,2729
11417,77270,58.7,23769,1432,2480,9186,4649,3027,1726,1269,9588,9754,5963,3084,4409,3406
11418,70183,61,29093,1965,2731,11602,5310,4188,1818,1479,12258,11573,6170,4702,4694,5534
11419,67136,57.7,39023,2815,4454,13720,7954,5989,2599,1492,15880,16237,10772,7127,4705,5059
11420,75587,59.5,38681,3153,4113,13651,7375,5442,3068,1879,14481,16100,8992,5574,6338,5564
11421,73247,59.2,32630,2514,3328,12836,6139,4245,2013,1555,13022,13526,6742,5065,5991,5422
11422,88594,65.9,25337,1926,2378,8701,5128,4009,1907,1288,8507,11709,4018,1604,6339,5877
11423,78800,58.8,26034,2123,2183,8737,4871,3632,2503,1985,9442,9981,4735,3125,4731,4649
11424,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11425,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11426,96004,60.6,14925,920,970,5005,3317,2403,1107,1203,5912,5783,2718,767,2900,4340
11427,87394,60.1,20228,1106,1879,6994,3965,3161,1779,1344,7675,8324,3719,1974,3498,4929
11428,79245,63.4,16639,1093,1639,5814,3049,2837,1338,869,6620,6719,3443,1877,2907,3473
11429,82062,56.9,23361,2055,2224,7955,4206,3266,2036,1619,8297,9354,4649,2036,5460,3282
11430,-,40.6,101,0,5,46,20,25,5,0,96,0,51,20,10,10
11432,70000,55.7,48249,3909,4946,16099,8528,6671,4450,3646,17499,18745,6993,6011,6704,11590
11433,65457,54.2,23443,2060,2373,8566,3697,2954,2175,1618,7692,9898,4531,3158,4606,2922
11434,71446,56.9,48209,3686,4326,17439,8666,6538,3882,3672,16016,20953,9931,4332,11291,7089
11435,69254,58.7,42555,2628,3700,17335,7644,5995,3214,2039,17124,17550,7972,6473,6964,9565
11436,75253,58.1,13642,1123,1288,4678,2469,2020,1148,916,4932,5523,3088,1404,2829,1846
11451,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11501,100914,66.4,15676,783,1043,5484,3347,2216,1321,1482,5895,6195,2675,1303,2530,4539
11507,128891,53.1,5845,410,426,1444,1271,1003,611,680,1942,2202,629,82,887,2120
11509,177072,59.7,1802,40,103,317,324,496,330,192,586,654,91,78,222,746
11510,109313,66.8,25872,1687,2120,8639,5086,4444,2079,1817,9724,10565,4117,1053,4718,8281
11514,100115,59.5,4328,341,378,1267,1041,591,299,411,1696,1581,723,142,843,1191
11516,121021,54.1,5221,506,346,1558,1057,685,484,585,1842,1804,418,191,742,1949
11518,108999,63.8,8371,404,579,2476,1933,1378,857,744,3208,3158,1593,218,1628,2348
11520,86379,63.4,34402,2105,2762,12754,6275,4883,3336,2287,13022,13652,6653,4983,6301,5975
11530,188089,56.6,21828,2115,1496,5159,4678,3297,2601,2482,7065,7565,1568,144,2491,8931
11542,92538,58.1,22181,1342,1667,7270,3725,3329,2245,2603,8097,7894,3824,2157,2916,5427
11545,209993,60.8,10139,639,566,2475,2318,2097,1109,935,3613,3843,873,145,1222,4650
11547,128097,52.8,475,30,0,187,127,49,47,35,167,196,19,28,68,248
11548,169058,49.8,2170,680,815,214,76,247,34,104,538,814,69,0,44,424
11549,-,42.3,2567,1066,1384,117,0,0,0,0,526,975,0,0,37,80
11550,72416,60.8,43359,2976,4555,17296,7948,4905,3061,2618,16490,18214,8474,8836,7657,5182
11552,108253,62.2,18143,1486,1621,5360,3631,2893,1519,1633,6630,6875,2773,1002,3089,5020
11553,88007,60.8,21465,2315,2922,7295,3516,2448,1489,1480,8145,8036,3455,3409,3563,2832
11554,110329,56.9,31471,1963,2649,9289,5964,5295,2610,3701,12068,11129,4821,1517,5913,8297
11556,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11557,149079,62.8,5543,306,366,1360,1167,991,821,532,1862,2022,492,29,713,2284
11558,93806,61,7117,506,443,1924,1538,1373,705,628,2505,2773,1408,347,1518,1562
11559,146047,53.8,5855,538,557,1588,1064,923,505,680,2064,2068,441,204,715,2215
11560,153468,57.8,5315,265,306,1439,1129,1051,594,531,1927,1998,608,188,784,2039
11561,108730,64.3,32476,1860,2125,10770,6406,4931,3300,3084,11981,12251,4201,1065,5902,10939
11563,104798,58.5,18820,1224,879,5702,4121,2888,1515,2491,6315,7275,2907,578,3753,5473
11565,136550,64,7218,375,368,2422,1181,1448,772,652,2663,2756,945,150,1321,2635
11566,145406,64.6,26999,2129,1784,6929,6489,4860,2417,2391,9652,10410,3079,265,4662,10272
11568,274455,53.2,3285,643,673,554,492,521,219,183,1033,1207,155,23,223,1166
11569,153070,68.7,1043,59,34,172,203,182,160,233,243,348,113,0,124,320
11570,155408,61,21228,1506,1601,5527,4414,3711,2284,2185,7527,7726,2057,632,2525,8438
11572,113633,61.1,23850,1419,1746,6401,4944,4648,2229,2463,8760,8979,3595,808,4009,7581
11575,77461,64.2,12378,855,1133,5090,2181,1473,983,663,4635,5242,2742,1975,2401,1626
11576,218913,59.6,9385,543,400,2075,1898,2102,1175,1192,3086,3389,380,112,599,4984
11577,162363,58.5,9818,718,476,2761,2127,1705,863,1168,3427,3642,710,278,1112,4493
11579,123062,66.8,4227,272,352,1106,871,862,461,303,1574,1617,233,103,641,1862
11580,105237,62.3,32278,2188,2442,11200,6134,5116,2414,2784,11859,13033,5579,1837,6668,8366
11581,111093,60,16356,1112,1397,5297,3085,2404,1375,1686,6233,5950,2524,444,2938,4880
11590,105291,62.6,35588,2051,3033,12630,5994,5332,3278,3270,13587,13402,6232,3732,5995,7997
11596,142088,61.6,8378,540,562,2123,1772,1633,933,815,2990,3100,837,144,1231,3316
11598,175632,59.8,10188,953,768,2256,2174,1989,894,1154,3552,3635,683,273,1171,4292
11691,64823,50.4,44693,3677,5174,15583,6852,5457,4116,3834,14757,18309,7967,6751,7087,6087
11692,56726,49,12756,954,1037,4331,2702,1792,1034,906,4678,5184,2953,1868,2431,1573
11693,64337,49.6,9066,646,700,2972,2022,1302,955,469,3156,3840,1919,1277,1650,1450
11694,91238,56,17425,1018,880,4977,3522,3260,1958,1810,6098,6541,2471,1176,3348,4764
11697,96169,47.1,3445,172,151,753,535,806,441,587,1104,1141,454,38,521,1081
