ZIP CODE,Mean income ,Percentage Employed,Total Population ,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher
10026,79862,56.4,29601,1669,3310,12923,5141,3527,1752,1279,11309,13592,4367,3228,4472,9524
10027,76443,48.8,51764,5844,7208,20125,7287,5666,2904,2730,18300,21986,6506,5206,6449,14917
10028,188661,70.9,39395,652,2911,16405,5802,5551,4376,3698,13472,17197,1227,353,2503,23675
10029,68048,51,63413,5026,7214,24399,9603,7989,4416,4766,22923,26282,10396,10740,8046,12809
10030,60933,51.2,23660,1859,2375,9695,4057,2908,1776,990,9019,10016,4197,3490,4048,4925
10031,63223,57.8,48782,3272,5725,20887,7335,5166,3892,2505,18729,20384,6696,8050,8112,10530
10032,54620,52.5,51978,3314,6468,20414,7638,6715,4145,3284,21233,20002,6489,11376,7908,8994
10033,69739,56.9,48284,3032,5837,18479,7673,6549,3348,3366,19540,18998,6373,8043,7067,11218
10034,61341,61,33777,2056,3108,13382,6515,4663,2615,1438,14286,13382,4323,6300,5268,8669
10035,62079,43.5,27638,1855,3277,10781,4267,3403,2138,1917,10864,10864,4530,5687,3500,4734
10036,114944,69.9,21230,325,2222,10166,3495,2865,1355,802,10823,7925,1625,717,2673,11511
10037,62147,49.5,14741,1090,1513,4709,2380,2017,1568,1464,4390,6229,1363,1021,3077,3645
10038,145260,60.2,18105,1070,2912,7222,2433,1705,1197,1566,6812,7460,1150,1461,1505,7244
10039,53530,50.8,19853,1415,2584,7555,3557,2095,1447,1200,7242,8549,3029,2631,3689,3858
10040,60952,56.5,36338,2265,3723,13205,5909,5220,3090,2926,12794,15263,4330,5929,5147,8928
10044,111246,51.9,10584,513,1057,4048,1504,1418,1039,1005,3992,4035,903,698,1075,4294
10065,195705,67.3,29193,388,1819,13267,3643,3292,3978,2806,9725,12296,1328,235,1838,16801
10069,250323,75.2,4367,8,37,2959,528,451,242,142,1907,2068,6,12,206,3714
10075,178669,67.1,21498,200,1182,9053,2264,3817,3017,1965,6386,9930,506,203,1520,12905
10103,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10110,-,66.7,3,0,0,2,1,0,0,0,2,1,1,0,0,2
10111,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10112,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10115,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10119,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,168459,67.7,51804,1213,3363,23314,7905,6875,4880,4254,17962,23495,1553,778,3915,31848
10152,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10153,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10162,229822,69.7,1137,28,0,525,304,44,138,98,531,342,16,0,51,806
10165,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10167,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10168,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10169,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10170,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10171,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
